,id,maxLat,minLat,maxLong,minLong
247,247,-23.784922899999998,-23.7939229,-46.836143299999996,-46.8451433
248,248,-23.784922899999998,-23.7939229,-46.827143299999996,-46.836143299999996
249,249,-23.784922899999998,-23.7939229,-46.818143299999996,-46.827143299999996
250,250,-23.784922899999998,-23.7939229,-46.809143299999995,-46.818143299999996
251,251,-23.784922899999998,-23.7939229,-46.800143299999995,-46.809143299999995
252,252,-23.784922899999998,-23.7939229,-46.791143299999995,-46.800143299999995
253,253,-23.784922899999998,-23.7939229,-46.782143299999994,-46.791143299999995
254,254,-23.784922899999998,-23.7939229,-46.773143299999994,-46.782143299999994
255,255,-23.784922899999998,-23.7939229,-46.76414329999999,-46.773143299999994
256,256,-23.784922899999998,-23.7939229,-46.75514329999999,-46.76414329999999
257,257,-23.784922899999998,-23.7939229,-46.74614329999999,-46.75514329999999
258,258,-23.784922899999998,-23.7939229,-46.73714329999999,-46.74614329999999
259,259,-23.784922899999998,-23.7939229,-46.72814329999999,-46.73714329999999
260,260,-23.784922899999998,-23.7939229,-46.71914329999999,-46.72814329999999
261,261,-23.784922899999998,-23.7939229,-46.71014329999999,-46.71914329999999
262,262,-23.784922899999998,-23.7939229,-46.70114329999999,-46.71014329999999
263,263,-23.784922899999998,-23.7939229,-46.69214329999999,-46.70114329999999
264,264,-23.784922899999998,-23.7939229,-46.68314329999999,-46.69214329999999
265,265,-23.784922899999998,-23.7939229,-46.67414329999999,-46.68314329999999
266,266,-23.784922899999998,-23.7939229,-46.66514329999999,-46.67414329999999
267,267,-23.784922899999998,-23.7939229,-46.65614329999999,-46.66514329999999
268,268,-23.784922899999998,-23.7939229,-46.64714329999999,-46.65614329999999
269,269,-23.784922899999998,-23.7939229,-46.63814329999999,-46.64714329999999
270,270,-23.784922899999998,-23.7939229,-46.62914329999999,-46.63814329999999
271,271,-23.784922899999998,-23.7939229,-46.62014329999999,-46.62914329999999
272,272,-23.784922899999998,-23.7939229,-46.61114329999999,-46.62014329999999
273,273,-23.784922899999998,-23.7939229,-46.60214329999999,-46.61114329999999
274,274,-23.784922899999998,-23.7939229,-46.59314329999999,-46.60214329999999
275,275,-23.784922899999998,-23.7939229,-46.58414329999999,-46.59314329999999
276,276,-23.784922899999998,-23.7939229,-46.575143299999986,-46.58414329999999
277,277,-23.784922899999998,-23.7939229,-46.566143299999986,-46.575143299999986
278,278,-23.784922899999998,-23.7939229,-46.557143299999986,-46.566143299999986
279,279,-23.784922899999998,-23.7939229,-46.548143299999985,-46.557143299999986
280,280,-23.784922899999998,-23.7939229,-46.539143299999985,-46.548143299999985
281,281,-23.784922899999998,-23.7939229,-46.530143299999985,-46.539143299999985
282,282,-23.784922899999998,-23.7939229,-46.521143299999984,-46.530143299999985
283,283,-23.784922899999998,-23.7939229,-46.512143299999984,-46.521143299999984
284,284,-23.784922899999998,-23.7939229,-46.503143299999984,-46.512143299999984
285,285,-23.784922899999998,-23.7939229,-46.49414329999998,-46.503143299999984
286,286,-23.784922899999998,-23.7939229,-46.48514329999998,-46.49414329999998
287,287,-23.784922899999998,-23.7939229,-46.47614329999998,-46.48514329999998
288,288,-23.784922899999998,-23.7939229,-46.46714329999998,-46.47614329999998
289,289,-23.784922899999998,-23.7939229,-46.45814329999998,-46.46714329999998
290,290,-23.784922899999998,-23.7939229,-46.44914329999998,-46.45814329999998
291,291,-23.784922899999998,-23.7939229,-46.44014329999998,-46.44914329999998
292,292,-23.784922899999998,-23.7939229,-46.43114329999998,-46.44014329999998
293,293,-23.784922899999998,-23.7939229,-46.42214329999998,-46.43114329999998
294,294,-23.784922899999998,-23.7939229,-46.41314329999998,-46.42214329999998
295,295,-23.784922899999998,-23.7939229,-46.40414329999998,-46.41314329999998
296,296,-23.784922899999998,-23.7939229,-46.39514329999998,-46.40414329999998
297,297,-23.784922899999998,-23.7939229,-46.38614329999998,-46.39514329999998
298,298,-23.784922899999998,-23.7939229,-46.37714329999998,-46.38614329999998
299,299,-23.784922899999998,-23.7939229,-46.36814329999998,-46.37714329999998
300,300,-23.784922899999998,-23.7939229,-46.35914329999998,-46.36814329999998
301,301,-23.784922899999998,-23.7939229,-46.35014329999998,-46.35914329999998
302,302,-23.784922899999998,-23.7939229,-46.34114329999998,-46.35014329999998
303,303,-23.784922899999998,-23.7939229,-46.33214329999998,-46.34114329999998
304,304,-23.784922899999998,-23.7939229,-46.32314329999998,-46.33214329999998
305,305,-23.784922899999998,-23.7939229,-46.31414329999998,-46.32314329999998
306,306,-23.784922899999998,-23.7939229,-46.305143299999976,-46.31414329999998
307,307,-23.784922899999998,-23.7939229,-46.296143299999976,-46.305143299999976
308,308,-23.784922899999998,-23.7939229,-46.287143299999975,-46.296143299999976
309,309,-23.784922899999998,-23.7939229,-46.278143299999975,-46.287143299999975
310,310,-23.784922899999998,-23.7939229,-46.269143299999975,-46.278143299999975
311,311,-23.784922899999998,-23.7939229,-46.260143299999974,-46.269143299999975
312,312,-23.775922899999998,-23.784922899999998,-46.9531433,-46.9621433
313,313,-23.775922899999998,-23.784922899999998,-46.9441433,-46.9531433
314,314,-23.775922899999998,-23.784922899999998,-46.9351433,-46.9441433
315,315,-23.775922899999998,-23.784922899999998,-46.9261433,-46.9351433
316,316,-23.775922899999998,-23.784922899999998,-46.9171433,-46.9261433
317,317,-23.775922899999998,-23.784922899999998,-46.9081433,-46.9171433
318,318,-23.775922899999998,-23.784922899999998,-46.8991433,-46.9081433
319,319,-23.775922899999998,-23.784922899999998,-46.8901433,-46.8991433
320,320,-23.775922899999998,-23.784922899999998,-46.8811433,-46.8901433
321,321,-23.775922899999998,-23.784922899999998,-46.8721433,-46.8811433
322,322,-23.775922899999998,-23.784922899999998,-46.8631433,-46.8721433
323,323,-23.775922899999998,-23.784922899999998,-46.8541433,-46.8631433
324,324,-23.775922899999998,-23.784922899999998,-46.8451433,-46.8541433
325,325,-23.775922899999998,-23.784922899999998,-46.836143299999996,-46.8451433
326,326,-23.775922899999998,-23.784922899999998,-46.827143299999996,-46.836143299999996
327,327,-23.775922899999998,-23.784922899999998,-46.818143299999996,-46.827143299999996
328,328,-23.775922899999998,-23.784922899999998,-46.809143299999995,-46.818143299999996
329,329,-23.775922899999998,-23.784922899999998,-46.800143299999995,-46.809143299999995
330,330,-23.775922899999998,-23.784922899999998,-46.791143299999995,-46.800143299999995
331,331,-23.775922899999998,-23.784922899999998,-46.782143299999994,-46.791143299999995
332,332,-23.775922899999998,-23.784922899999998,-46.773143299999994,-46.782143299999994
333,333,-23.775922899999998,-23.784922899999998,-46.76414329999999,-46.773143299999994
334,334,-23.775922899999998,-23.784922899999998,-46.75514329999999,-46.76414329999999
335,335,-23.775922899999998,-23.784922899999998,-46.74614329999999,-46.75514329999999
336,336,-23.775922899999998,-23.784922899999998,-46.73714329999999,-46.74614329999999
337,337,-23.775922899999998,-23.784922899999998,-46.72814329999999,-46.73714329999999
338,338,-23.775922899999998,-23.784922899999998,-46.71914329999999,-46.72814329999999
339,339,-23.775922899999998,-23.784922899999998,-46.71014329999999,-46.71914329999999
340,340,-23.775922899999998,-23.784922899999998,-46.70114329999999,-46.71014329999999
341,341,-23.775922899999998,-23.784922899999998,-46.69214329999999,-46.70114329999999
342,342,-23.775922899999998,-23.784922899999998,-46.68314329999999,-46.69214329999999
343,343,-23.775922899999998,-23.784922899999998,-46.67414329999999,-46.68314329999999
344,344,-23.775922899999998,-23.784922899999998,-46.66514329999999,-46.67414329999999
345,345,-23.775922899999998,-23.784922899999998,-46.65614329999999,-46.66514329999999
346,346,-23.775922899999998,-23.784922899999998,-46.64714329999999,-46.65614329999999
347,347,-23.775922899999998,-23.784922899999998,-46.63814329999999,-46.64714329999999
348,348,-23.775922899999998,-23.784922899999998,-46.62914329999999,-46.63814329999999
349,349,-23.775922899999998,-23.784922899999998,-46.62014329999999,-46.62914329999999
350,350,-23.775922899999998,-23.784922899999998,-46.61114329999999,-46.62014329999999
351,351,-23.775922899999998,-23.784922899999998,-46.60214329999999,-46.61114329999999
352,352,-23.775922899999998,-23.784922899999998,-46.59314329999999,-46.60214329999999
353,353,-23.775922899999998,-23.784922899999998,-46.58414329999999,-46.59314329999999
354,354,-23.775922899999998,-23.784922899999998,-46.575143299999986,-46.58414329999999
355,355,-23.775922899999998,-23.784922899999998,-46.566143299999986,-46.575143299999986
356,356,-23.775922899999998,-23.784922899999998,-46.557143299999986,-46.566143299999986
357,357,-23.775922899999998,-23.784922899999998,-46.548143299999985,-46.557143299999986
358,358,-23.775922899999998,-23.784922899999998,-46.539143299999985,-46.548143299999985
359,359,-23.775922899999998,-23.784922899999998,-46.530143299999985,-46.539143299999985
360,360,-23.775922899999998,-23.784922899999998,-46.521143299999984,-46.530143299999985
361,361,-23.775922899999998,-23.784922899999998,-46.512143299999984,-46.521143299999984
362,362,-23.775922899999998,-23.784922899999998,-46.503143299999984,-46.512143299999984
363,363,-23.775922899999998,-23.784922899999998,-46.49414329999998,-46.503143299999984
364,364,-23.775922899999998,-23.784922899999998,-46.48514329999998,-46.49414329999998
365,365,-23.775922899999998,-23.784922899999998,-46.47614329999998,-46.48514329999998
366,366,-23.775922899999998,-23.784922899999998,-46.46714329999998,-46.47614329999998
367,367,-23.775922899999998,-23.784922899999998,-46.45814329999998,-46.46714329999998
368,368,-23.775922899999998,-23.784922899999998,-46.44914329999998,-46.45814329999998
369,369,-23.775922899999998,-23.784922899999998,-46.44014329999998,-46.44914329999998
370,370,-23.775922899999998,-23.784922899999998,-46.43114329999998,-46.44014329999998
371,371,-23.775922899999998,-23.784922899999998,-46.42214329999998,-46.43114329999998
372,372,-23.775922899999998,-23.784922899999998,-46.41314329999998,-46.42214329999998
373,373,-23.775922899999998,-23.784922899999998,-46.40414329999998,-46.41314329999998
374,374,-23.775922899999998,-23.784922899999998,-46.39514329999998,-46.40414329999998
375,375,-23.775922899999998,-23.784922899999998,-46.38614329999998,-46.39514329999998
376,376,-23.775922899999998,-23.784922899999998,-46.37714329999998,-46.38614329999998
377,377,-23.775922899999998,-23.784922899999998,-46.36814329999998,-46.37714329999998
378,378,-23.775922899999998,-23.784922899999998,-46.35914329999998,-46.36814329999998
379,379,-23.775922899999998,-23.784922899999998,-46.35014329999998,-46.35914329999998
380,380,-23.775922899999998,-23.784922899999998,-46.34114329999998,-46.35014329999998
